City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,palapag,12.5458,125.1147,299.73,90,99,2.04,PH,1731284449
137,sur,22.5667,59.5289,299.19,51,0,2.27,OM,1731284451
138,punta arenas,-53.15,-70.9167,281.21,53,40,10.8,CL,1731284452
139,souillac,-20.5167,57.5167,298.36,88,75,2.06,MU,1731284453
140,krasnovishersk,60.4078,57.082,266.9,88,99,3.71,RU,1731284454
141,touros,-5.1989,-35.4608,298.42,77,100,5.41,BR,1731284455
142,uturoa,-16.7333,-151.4333,300.56,80,82,5.91,PF,1731284457
143,fort bragg,35.139,-79.006,291.06,85,75,0.0,US,1731284458
144,mar del plata,-38.0023,-57.5575,288.2,89,100,2.57,AR,1731284459
145,al faw,29.9776,48.4741,297.82,41,100,3.46,IQ,1731284460
146,altamira,-3.2033,-52.2064,303.86,36,96,1.45,BR,1731284461
147,camarinas,43.1311,-9.1817,288.67,94,91,3.35,ES,1731284463
148,namibe,-15.1961,12.1522,293.13,74,76,4.31,AO,1731284464
149,thomson,33.4707,-82.5046,288.61,99,100,4.12,US,1731284465
150,ghadamis,30.1337,9.5007,292.81,29,32,2.47,LY,1731284466
151,aginskoye,51.1,114.53,265.02,96,99,2.23,RU,1731284467
152,choyr,46.3611,108.3611,269.72,67,2,2.93,MN,1731284469
153,dom pedrito,-30.9828,-54.6731,291.4,78,0,1.92,BR,1731284470
154,ouadda,8.0777,22.4007,293.55,85,100,0.82,CF,1731284471
155,tual,-5.6667,132.75,301.65,78,81,5.95,ID,1731284348
156,kyaikkami,16.08,97.5675,298.54,85,60,2.98,MM,1731284473
157,nuuk,64.1835,-51.7216,270.49,86,100,1.54,GL,1731284360
158,douglas,41.3,-96.167,283.37,81,0,0.45,US,1731284476
159,kawant,22.1,74.05,295.5,41,0,1.74,IN,1731284477
160,koh kong,11.6175,102.9806,298.01,85,14,1.92,KH,1731284478
161,spring creek,40.7266,-115.5859,286.98,25,97,2.09,US,1731284479
162,amontada,-3.3617,-39.8317,298.07,83,93,4.84,BR,1731284481
163,tiksi,71.6872,128.8694,255.12,100,84,1.4,RU,1731284482
164,basco,20.4487,121.9702,299.74,88,97,10.87,PH,1731284483
165,paramonga,-10.6667,-77.8333,292.29,82,36,3.16,PE,1731284484
166,arvayheer,46.2639,102.775,267.24,55,13,0.29,MN,1731284485
167,valdivia,-39.8142,-73.2459,284.2,97,100,2.68,CL,1731284486
168,hotan,37.0997,79.9269,281.52,42,45,2.15,CN,1731284488
169,georgetown,5.4112,100.3354,300.11,89,20,1.03,MY,1731284284
170,port augusta,-32.5,137.7667,300.22,42,81,4.38,AU,1731284490
171,al khafji,28.4391,48.4913,298.54,43,89,3.36,SA,1731284491
172,galle,6.0367,80.217,297.85,87,61,1.63,LK,1731284305
173,ar rutbah,33.0381,40.2848,288.02,65,21,2.54,IQ,1731284494
174,lundazi,-12.2929,33.1782,294.21,68,60,2.96,ZM,1731284495
175,eyl,7.9803,49.8164,299.32,77,66,6.6,SO,1731284496
176,puerto tirol,-27.3722,-59.0821,301.51,57,0,3.09,AR,1731284497
177,barra de santo antonio,-9.4047,-35.5072,298.28,84,49,6.81,BR,1731284498
178,puerto ayora,-0.7393,-90.3518,295.12,86,86,1.34,EC,1731284500
179,hamilton,39.1834,-84.5333,291.36,92,100,4.63,US,1731284501
180,nar'yan-mar,67.6713,53.087,263.88,90,25,2.99,RU,1731284502
181,new norfolk,-42.7826,147.0587,291.32,28,3,1.64,AU,1731284503
182,saipan,15.1355,145.701,304.54,81,20,6.17,MP,1731284504
183,thunder bay,48.4001,-89.3168,280.14,93,100,1.54,CA,1731284506
184,veinticinco de mayo,-35.4323,-60.1727,288.7,90,100,2.24,AR,1731284507
185,bandarbeyla,9.4942,50.8122,299.17,80,75,8.13,SO,1731284508
